Zelle;Kapazität in mAh;Temperatur in ;Volt/SOC;Relative Kapazität in %;Dauer d. Alterung in Tagen;(rel. Kal. Alterung %)/Tag;Verlust an abs. Kapa in mAh für entsprechende Tage;mAh/Tag;mAh/Jahr;Paper;Chemie
NCR18650PD;2800;50;50;0,928;300;0,000242;0,676271186;0,002254237;0,82279661;Calendar Aging of Lithium-Ion Batteries;NCA
NCR18650PD;2800;40;50;0,95;300;0,000168;0,470621469;0,001568738;0,572589454;Calendar Aging of Lithium-Ion Batteries;NCA
NCR18650PD;2800;25;50;0,971;300;0,000097;0,272881356;0,000909605;0,33200565;Calendar Aging of Lithium-Ion Batteries;NCA
UR18650E;2050;50;50;0,878;300;0,000405;0,831081081;0,00277027;1,011148649;Calendar Aging of Lithium-Ion Batteries;NMC
UR18650E;2050;40;50;0,933;300;0,000222;0,455940315;0,001519801;0,554727384;Calendar Aging of Lithium-Ion Batteries;NMC
UR18650E;2050;25;50;0,972;300;0,000093;0,190456081;0,000634854;0,231721565;Calendar Aging of Lithium-Ion Batteries;NMC
APR18650M1A;1100;50;50;0,883;270;0,000432;0,474729882;0,001758259;0,64176447;Calendar Aging of Lithium-Ion Batteries;LFP
APR18650M1A;1100;40;50;0,933;270;0,00025;0,274478783;0,001016588;0,371054651;Calendar Aging of Lithium-Ion Batteries;LFP
APR18650M1A;1100;25;50;0,971;270;0,000108;0,119118204;0,000441179;0,161030164;Calendar Aging of Lithium-Ion Batteries;LFP
UR18650E;2050;50;50;0,903;161,71;0,000602;1,233433508;0,007627345;2,783981008;A holistic aging model for Li(NiMnCo)O2 based 18650 lithium-ion batteries;NMC
NCR18650PD;2800;25;55;0,968;288;0,000111;0,310775138;0,00107908;0,393864324;Calendar Aging of NCA Lithium-I;NCA
NCR18650PD;2800;50;55;0,925;285;0,000262;0,734189686;0,002576104;0,940278019;Calendar Aging of NCA Lithium-I;NCA
NCR18650PD;2800;50;55;0,926;300;0,000247;0,691693388;0,002305645;0,841560289;Calendar Aging of Lithium-Ion Batteries;NCA
NCR18650PD;2800;40;55;0,946;300;0,000179;0,50186288;0,001672876;0,610599837;Calendar Aging of Lithium-Ion Batteries;NCA
NCR18650PD;2800;25;55;0,969;300;0,000103;0,288303558;0,000961012;0,350769329;Calendar Aging of Lithium-Ion Batteries;NCA
UR18650E;2050;40;55;0,933;300;0,000222;0,455940315;0,001519801;0,554727384;Calendar Aging of Lithium-Ion Batteries;NMC
UR18650E;2050;25;55;0,971;300;0,000096;0,196227477;0,000654092;0,238743431;Calendar Aging of Lithium-Ion Batteries;NMC
APR18650M1A;1100;50;55;0,882;270;0,000438;0,481455477;0,001783168;0,650856478;Calendar Aging of Lithium-Ion Batteries;LFP
APR18650M1A;1100;40;55;0,928;270;0,000268;0,295028103;0,001092697;0,398834288;Calendar Aging of Lithium-Ion Batteries;LFP
APR18650M1A;1100;25;55;0,972;270;0,000105;0,115492636;0,000427751;0,156128934;Calendar Aging of Lithium-Ion Batteries;LFP
NCR18650PD;2800;25;60;0,951;288;0,000169;0,474562035;0,001647785;0,601441468;Calendar Aging of NCA Lithium-I;NCA
NCR18650PD;2800;50;60;0,914;285;0,000303;0,848774203;0,002978155;1,087026611;Calendar Aging of NCA Lithium-I;NCA
NCR18650PD;2800;50;60;0,916;300;0,000281;0,786196366;0,002620655;0,956538912;Calendar Aging of Lithium-Ion Batteries;NCA
NCR18650PD;2800;40;60;0,936;300;0,000213;0,596381127;0,001987937;0,725597038;Calendar Aging of Lithium-Ion Batteries;NCA
NCR18650PD;2800;25;60;0,954;300;0,000154;0,430264162;0,001434214;0,523488064;Calendar Aging of Lithium-Ion Batteries;NCA
UR18650E;2050;50;60;0,875;300;0,000417;0,854166667;0,002847222;1,039236111;Calendar Aging of Lithium-Ion Batteries;NMC
UR18650E;2050;40;60;0,932;300;0,000228;0,467483108;0,001558277;0,568771115;Calendar Aging of Lithium-Ion Batteries;NMC
UR18650E;2050;25;60;0,969;300;0,000104;0,213541667;0,000711806;0,259809028;Calendar Aging of Lithium-Ion Batteries;NMC
APR18650M1A;1100;50;60;0,884;270;0,000431;0,474390608;0,001757002;0,641305822;Calendar Aging of Lithium-Ion Batteries;LFP
APR18650M1A;1100;40;60;0,928;270;0,000268;0,294855141;0,001092056;0,398600468;Calendar Aging of Lithium-Ion Batteries;LFP
APR18650M1A;1100;25;60;0,968;270;0,000117;0,129130093;0,00047826;0,174564756;Calendar Aging of Lithium-Ion Batteries;LFP
UR18650E;2050;50;60;0,775;517,17;0,000435;0,891795007;0,001724387;0,629401212;A holistic aging model for Li(NiMnCo)O2 based 18650 lithium-ion batteries;NMC
NCR18650PD;2800;25;65;0,949;288;0,000175;0,491360691;0,001706114;0,622731431;Calendar Aging of NCA Lithium-I;NCA
NCR18650PD;2800;50;65;0,896;285;0,000365;1,022772915;0,003588677;1,309867067;Calendar Aging of NCA Lithium-I;NCA
NCR18650PD;2800;50;65;0,899;300;0,000337;0,944006719;0,003146689;1,148541508;Calendar Aging of Lithium-Ion Batteries;NCA
NCR18650PD;2800;40;65;0,923;300;0,000255;0,714612918;0,002382043;0,869445717;Calendar Aging of Lithium-Ion Batteries;NCA
NCR18650PD;2800;25;65;0,951;300;0,000162;0,453595969;0,001511987;0,551875095;Calendar Aging of Lithium-Ion Batteries;NCA
UR18650E;2050;50;65;0,875;300;0,000417;0,854166667;0,002847222;1,039236111;Calendar Aging of Lithium-Ion Batteries;NMC
UR18650E;2050;40;65;0,922;300;0,000259;0,530968468;0,001769895;0,646011637;Calendar Aging of Lithium-Ion Batteries;NMC
UR18650E;2050;25;65;0,956;300;0,000146;0,300112613;0,001000375;0,365137012;Calendar Aging of Lithium-Ion Batteries;NMC
APR18650M1A;1100;50;65;0,881;270;0,000441;0,484575461;0,001794724;0,655074234;Calendar Aging of Lithium-Ion Batteries;LFP
APR18650M1A;1100;40;65;0,928;270;0,000268;0,29468883;0,00109144;0,398375641;Calendar Aging of Lithium-Ion Batteries;LFP
APR18650M1A;1100;25;65;0,967;270;0,000124;0,135862341;0,000503194;0,183665757;Calendar Aging of Lithium-Ion Batteries;LFP
NCR18650PD;2800;25;70;0,948;288;0,000181;0,508159347;0,001764442;0,644021395;Calendar Aging of NCA Lithium-I;NCA
NCR18650PD;2800;50;70;0,893;285;0,000374;1,048236141;0,003678022;1,342477865;Calendar Aging of NCA Lithium-I;NCA
NCR18650PD;2800;50;70;0,894;300;0,000354;0,991067339;0,003303558;1,205798595;Calendar Aging of Lithium-Ion Batteries;NCA
NCR18650PD;2800;40;70;0,922;300;0,000261;0,730050389;0,002433501;0,888227974;Calendar Aging of Lithium-Ion Batteries;NCA
NCR18650PD;2800;25;70;0,95;300;0,000168;0,469018171;0,001563394;0,570638774;Calendar Aging of Lithium-Ion Batteries;NCA
UR18650E;2050;50;70;0,856;300;0,000481;0,986908784;0,003289696;1,20073902;Calendar Aging of Lithium-Ion Batteries;NMC
UR18650E;2050;40;70;0,899;300;0,000338;0,692567568;0,002308559;0,842623874;Calendar Aging of Lithium-Ion Batteries;NMC
UR18650E;2050;25;70;0,946;300;0,00018;0,369369369;0,001231231;0,449399399;Calendar Aging of Lithium-Ion Batteries;NMC
APR18650M1A;1100;50;70;0,884;270;0,000431;0,47403803;0,001755696;0,640829189;Calendar Aging of Lithium-Ion Batteries;LFP
APR18650M1A;1100;40;70;0,924;270;0,00028;0,308319635;0,001141925;0,41680247;Calendar Aging of Lithium-Ion Batteries;LFP
APR18650M1A;1100;25;70;0,965;270;0,00013;0,142594588;0,000528128;0,192766758;Calendar Aging of Lithium-Ion Batteries;LFP
NCR18650PD;2800;25;80;0,949;288;0,000178;0,499760019;0,001735278;0,633376413;Calendar Aging of NCA Lithium-I;NCA
NCR18650PD;2800;50;80;0,892;285;0,00038;1,065211625;0,003737585;1,364218397;Calendar Aging of NCA Lithium-I;NCA
NCR18650PD;2800;40;80;0,918;300;0,000272;0,760894793;0,002536316;0,925755332;Calendar Aging of Lithium-Ion Batteries;NCA
NCR18650PD;2800;25;80;0,949;300;0,00017;0,47614903;0,001587163;0,579314654;Calendar Aging of Lithium-Ion Batteries;NCA
UR18650E;2050;50;80;0,825;300;0,000583;1,194679054;0,003982264;1,453526182;Calendar Aging of Lithium-Ion Batteries;NMC
UR18650E;2050;40;80;0,891;300;0,000363;0,744510135;0,0024817;0,905820664;Calendar Aging of Lithium-Ion Batteries;NMC
UR18650E;2050;25;80;0,945;300;0,000183;0,375140766;0,001250469;0,456421265;Calendar Aging of Lithium-Ion Batteries;NMC
APR18650M1A;1100;50;80;0,867;270;0,000493;0,542757512;0,002010213;0,733727748;Calendar Aging of Lithium-Ion Batteries;LFP
APR18650M1A;1100;40;80;0,903;270;0,000358;0,394288838;0,001460329;0,533020096;Calendar Aging of Lithium-Ion Batteries;LFP
APR18650M1A;1100;25;80;0,942;270;0,000214;0,235475654;0,000872132;0,318328199;Calendar Aging of Lithium-Ion Batteries;LFP
UR18650E;2050;50;80;0,761;406,16;0,00059;1,20879406;0,002976178;1,086304796;A holistic aging model for Li(NiMnCo)O2 based 18650 lithium-ion batteries;NMC
UR18650E;2050;50;85;0,751;407,48;0,000612;1,25518156;0,003080382;1,124339471;A holistic aging model for Li(NiMnCo)O2 based 18650 lithium-ion batteries;NMC
NCR18650PD;2800;25;90;0,946;288;0,000186;0,520758339;0,001808189;0,659988868;Calendar Aging of NCA Lithium-I;NCA
NCR18650PD;2800;50;90;0,887;285;0,000396;1,107650335;0,003886492;1,418569728;Calendar Aging of NCA Lithium-I;NCA
NCR18650BD;3200;10;90;0,891;3,04;0,035732;114,3428533;37,59217094;13721,14239;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA
NCR18650BD;3200;10;90;0,849;73;0,002063;6,600428178;0,090416824;33,00214089;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA
NCR18650BD;3200;10;90;0,844;139;0,001125;3,601595754;0,025910761;9,4574277;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA
NCR18650BD;3200;10;90;0,826;202;0,000863;2,760573391;0,013666205;4,98816479;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA
NCR18650BD;3200;10;90;0,835;297;0,000555;1,776681222;0,005982092;2,183463455;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA
NCR18650BD;3200;10;90;0,817;385;0,000474;1,517502525;0,003941565;1,438671225;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA
NCR18650BD;3200;10;90;0,82;435;0,000413;1,322691777;0,003040671;1,109844825;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA
NCR18650BD;3200;45;90;0,873;3,04;0,041617;133,1737276;43,78314331;15980,84731;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA
NCR18650BD;3200;45;90;0,832;73;0,002305;7,376838239;0,101052579;36,8841912;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA
NCR18650BD;3200;45;90;0,836;139;0,001181;3,780017489;0,02719437;9,925945204;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA
NCR18650BD;3200;45;90;0,826;202;0,00086;2,753093869;0,013629178;4,974649813;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA
NCR18650BD;3200;45;90;0,812;297;0,000634;2,028302911;0,006829303;2,492695497;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA
NCR18650BD;3200;45;90;0,812;385;0,000488;1,562860226;0,004059377;1,481672682;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA
NCR18650BD;3200;45;90;0,816;435;0,000423;1,35217842;0,003108456;1,134586491;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA
NCR18650BD;3200;25;90;0,885;3,04;0,037914;121,3247816;39,88759943;14558,97379;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA
NCR18650BD;3200;25;90;0,843;73;0,002154;6,891297418;0,094401334;34,45648709;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA
NCR18650BD;3200;25;90;0,819;139;0,001303;4,170774463;0,030005572;10,95203366;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA
NCR18650BD;3200;25;90;0,819;202;0,000894;2,860459125;0,014160689;5,16865139;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA
NCR18650BD;3200;25;90;0,804;297;0,000661;2,114572201;0,007119772;2,598716678;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA
NCR18650BD;3200;25;90;0,799;385;0,000523;1,674730884;0,00434995;1,587731877;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA
NCR18650BD;3200;25;90;0,792;435;0,000478;1,530202867;0,003517708;1,283963325;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA
NCR18650PD;2800;50;90;0,887;300;0,000376;1,052756146;0,003509187;1,280853311;Calendar Aging of Lithium-Ion Batteries;NCA
NCR18650PD;2800;40;90;0,913;300;0,000288;0,807558406;0,002691861;0,982529394;Calendar Aging of Lithium-Ion Batteries;NCA
NCR18650PD;2800;25;90;0,947;300;0,000175;0,491174225;0,001637247;0,597595307;Calendar Aging of Lithium-Ion Batteries;NCA
UR18650E;2050;40;90;0,889;300;0,000369;0,756052928;0,002520176;0,919864396;Calendar Aging of Lithium-Ion Batteries;NMC
UR18650E;2050;25;90;0,943;300;0,000191;0,392454955;0,001308183;0,477486862;Calendar Aging of Lithium-Ion Batteries;NMC
APR18650M1A;1100;50;90;0,86;270;0,000518;0,570032428;0,002111231;0,770599393;Calendar Aging of Lithium-Ion Batteries;LFP
APR18650M1A;1100;40;90;0,896;270;0,000386;0,425023011;0,001574159;0,574568145;Calendar Aging of Lithium-Ion Batteries;LFP
APR18650M1A;1100;25;90;0,942;270;0,000214;0,235129728;0,000870851;0,317860559;Calendar Aging of Lithium-Ion Batteries;LFP
UR18650E;2050;50;90;0,755;346,6;0,000706;1,446517627;0,004173456;1,523311355;A holistic aging model for Li(NiMnCo)O2 based 18650 lithium-ion batteries;NMC
NCR18650PD;2800;25;95;0,944;288;0,000193;0,541756659;0,0018811;0,686601322;Calendar Aging of NCA Lithium-I;NCA
NCR18650PD;2800;50;95;0,884;285;0,000406;1,137357432;0,003990728;1,456615659;Calendar Aging of NCA Lithium-I;NCA
NCR18650PD;2800;50;95;0,882;300;0,000393;1,099847305;0,003666158;1,338147554;Calendar Aging of Lithium-Ion Batteries;NCA
NCR18650PD;2800;40;95;0,908;300;0,000305;0,854649565;0,002848832;1,039823637;Calendar Aging of Lithium-Ion Batteries;NCA
NCR18650PD;2800;25;95;0,947;300;0,000178;0,498702092;0,00166234;0,606754212;Calendar Aging of Lithium-Ion Batteries;NCA
UR18650E;2050;50;95;0,827;300;0,000577;1,183136261;0,003943788;1,439482451;Calendar Aging of Lithium-Ion Batteries;NMC
UR18650E;2050;40;95;0,896;300;0,000346;0,709881757;0,002366273;0,863689471;Calendar Aging of Lithium-Ion Batteries;NMC
UR18650E;2050;25;95;0,94;300;0,0002;0,409769144;0,001365897;0,498552459;Calendar Aging of Lithium-Ion Batteries;NMC
APR18650M1A;1100;50;95;0,857;270;0,000531;0,58368319;0,00216179;0,789053201;Calendar Aging of Lithium-Ion Batteries;LFP
APR18650M1A;1100;40;95;0,899;270;0,000374;0,411052933;0,001522418;0,555682668;Calendar Aging of Lithium-Ion Batteries;LFP
APR18650M1A;1100;25;95;0,945;270;0,000204;0,224612255;0,000831897;0,303642492;Calendar Aging of Lithium-Ion Batteries;LFP
UR18650E;2050;50;95;0,747;346,57;0,000729;1,494692552;0,004312791;1,574168662;A holistic aging model for Li(NiMnCo)O2 based 18650 lithium-ion batteries;NMC
NCR18650PD;2800;25;100;0,943;288;0,000198;0,554355652;0,001924846;0,702568794;Calendar Aging of NCA Lithium-I;NCA
NCR18650PD;2800;50;100;0,876;285;0,000435;1,217990982;0,004273653;1,559883187;Calendar Aging of NCA Lithium-I;NCA
NCR18650PD;2800;50;100;0,874;300;0,000421;1,178515804;0,003928386;1,433860895;Calendar Aging of Lithium-Ion Batteries;NCA
NCR18650PD;2800;40;100;0,908;300;0,000305;0,854222019;0,002847407;1,039303456;Calendar Aging of Lithium-Ion Batteries;NCA
NCR18650PD;2800;25;100;0,944;300;0,000186;0,522003359;0,001740011;0,635104087;Calendar Aging of Lithium-Ion Batteries;NCA
UR18650E;2050;50;100;0,766;300;0,00078;1,598676802;0,005328923;1,945056776;Calendar Aging of Lithium-Ion Batteries;NMC
UR18650E;2050;40;100;0,813;300;0,000625;1,28125;0,004270833;1,558854167;Calendar Aging of Lithium-Ion Batteries;NMC
UR18650E;2050;25;100;0,934;300;0,00022;0,450168919;0,001500563;0,547705518;Calendar Aging of Lithium-Ion Batteries;NMC
APR18650M1A;1100;50;100;0,852;270;0,000549;0,604212553;0,002237824;0,816805859;Calendar Aging of Lithium-Ion Batteries;LFP
APR18650M1A;1100;40;100;0,904;270;0,000355;0,390151034;0,001445004;0,527426398;Calendar Aging of Lithium-Ion Batteries;LFP
APR18650M1A;1100;25;100;0,943;270;0,00021;0,231331197;0,000856782;0,312725507;Calendar Aging of Lithium-Ion Batteries;LFP
INR18650-26F;2600;60;100;1,023;0;0;0;0;0;Comparative Study on the Calendar Ageing;NMC
INR18650-26F;2600;60;100;0,949;30;0,001714;4,456917476;0,148563916;54,22582929;Comparative Study on the Calendar Ageing;NMC
INR18650-26F;2600;60;100;0,883;60;0,001958;5,090614887;0,084843581;30,96790723;Comparative Study on the Calendar Ageing;NMC
INR18650-26F;2600;60;100;0,723;90;0,003076;7,997909924;0,088865666;32,43596803;Comparative Study on the Calendar Ageing;NMC
INR18650-25R;2500;60;100;1,045;0;0;0;0;0;Comparative Study on the Calendar Ageing;NCA
INR18650-25R;2500;60;100;0,961;30;0,001294;3,234981796;0,107832727;39,35894519;Comparative Study on the Calendar Ageing;NCA
INR18650-25R;2500;60;100;0,942;60;0,000964;2,410750405;0,040179173;14,66539829;Comparative Study on the Calendar Ageing;NCA
INR18650-25R;2500;60;100;0,928;90;0,000805;2,013383225;0,022370925;8,165387525;Comparative Study on the Calendar Ageing;NCA
INR18650-25R;2500;60;100;0,744;120;0,002129;5,323687803;0,044364065;16,19288374;Comparative Study on the Calendar Ageing;NCA
UR18650ZY;2600;60;100;1,065;0;0;0;0;0;Comparative Study on the Calendar Ageing;LCO
UR18650ZY;2600;60;100;1,016;30;-0,00055;-1,429105987;-0,047636866;-17,38745618;Comparative Study on the Calendar Ageing;LCO
UR18650ZY;2600;60;100;0,984;60;0,000262;0,680370146;0,011339502;4,138918386;Comparative Study on the Calendar Ageing;LCO
UR18650ZY;2600;60;100;0,931;90;0,000767;1,994875944;0,022165288;8,090330217;Comparative Study on the Calendar Ageing;LCO
UR18650ZY;2600;60;100;0,871;120;0,001078;2,80365089;0,023363757;8,527771457;Comparative Study on the Calendar Ageing;LCO
NITECORE 2000mAh (?);2000;60;100;1,088;0;0;0;0;0;Comparative Study on the Calendar Ageing;LMO
NITECORE 2000mAh (?);2000;60;100;1,082;30;-0,002722;-5,444983819;-0,181499461;-66,24730313;Comparative Study on the Calendar Ageing;LMO
NITECORE 2000mAh (?);2000;60;100;1,069;60;-0,001151;-2,301274272;-0,038354571;-13,99941849;Comparative Study on the Calendar Ageing;LMO
NITECORE 2000mAh (?);2000;60;100;1,041;90;-0,000461;-0,92131877;-0,010236875;-3,736459457;Comparative Study on the Calendar Ageing;LMO
NITECORE 2000mAh (?);2000;60;100;1,005;120;-0,000042;-0,084192961;-0,000701608;-0,256086924;Comparative Study on the Calendar Ageing;LMO
INR18650-26F;2600;50;100;1,06;0;0;0;0;0;Comparative Study on the Calendar Ageing;NMC
INR18650-26F;2600;50;100;0,969;100;0,000312;0,81186056;0,008118606;2,963291043;Comparative Study on the Calendar Ageing;NMC
INR18650-26F;2600;50;100;0,897;150;0,000689;1,791142547;0,01194095;4,358446865;Comparative Study on the Calendar Ageing;NMC
INR18650-25R;2500;50;100;1,122;0;0;0;0;0;Comparative Study on the Calendar Ageing;NCA
INR18650-25R;2500;50;100;1,122;100;-0,001225;-3,062265053;-0,030622651;-11,17726744;Comparative Study on the Calendar Ageing;NCA
INR18650-25R;2500;50;100;1,122;150;-0,000817;-2,041510035;-0,013610067;-4,967674419;Comparative Study on the Calendar Ageing;NCA
UR18650ZY;2600;50;100;1,181;0;0;0;0;0;Comparative Study on the Calendar Ageing;LCO
UR18650ZY;2600;50;100;1,093;100;-0,000934;-2,427422564;-0,024274226;-8,860092357;Comparative Study on the Calendar Ageing;LCO
UR18650ZY;2600;50;100;1,081;150;-0,000542;-1,409364535;-0,009395764;-3,429453702;Comparative Study on the Calendar Ageing;LCO
NITECORE 2000mAh (?);2000;50;100;1,242;0;0;0;0;0;Comparative Study on the Calendar Ageing;LMO
NITECORE 2000mAh (?);2000;50;100;1,237;100;-0,002371;-4,741519928;-0,047415199;-17,30654774;Comparative Study on the Calendar Ageing;LMO
NITECORE 2000mAh (?);2000;50;100;1,24;150;-0,001601;-3,201458961;-0,02134306;-7,790216805;Comparative Study on the Calendar Ageing;LMO
APR18650M-A1;1100;;3,2 V;1,00015147;0;0;0;0;0;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;LFP
APR18650M-A1;1100;;3,2 V;1,01215598;35;-0,000347314;-0,382045086;-0,010915574;-3,984184465;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;LFP
APR18650M-A1;1100;;3,2 V;1,00838824;65;-0,00012905;-0,141954831;-0,00218392;-0,797130973;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;LFP
APR18650M-A1;1100;;3,2 V;1,00734677;105;-6,99692E-05;-0,076966162;-0,000733011;-0,267549039;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;LFP
APR18650M-A1;1100;;3,2 V;1,00612196;140;-4,37283E-05;-0,048101114;-0,000343579;-0,125406477;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;LFP
APR18650M-A1;1100;;3,296 V;0,99837913;30;5,4029E-05;0,0594319;0,001981063;0,723088117;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;LFP
APR18650M-A1;1100;;3,296 V;0,99606175;65;6,05885E-05;0,066647308;0,001025343;0,374250266;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;LFP
APR18650M-A1;1100;;3,296 V;0,99311675;105;6,55548E-05;0,072110238;0,000686764;0,250668923;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;LFP
APR18650M-A1;1100;;3,296 V;0,98989881;140;7,21514E-05;0,079366493;0,000566904;0,206919785;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;LFP
APR18650M-A1;1100;;3,4 V;0,99511671;30;0,000162776;0,179053967;0,005968466;2,178489928;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;LFP
APR18650M-A1;1100;;3,4 V;0,98844845;65;0,000177716;0,195487769;0,003007504;1,097739012;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;LFP
APR18650M-A1;1100;;3,4 V;0,9808811;105;0,000182085;0,200293238;0,001907555;0,696257447;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;LFP
APR18650M-A1;1100;;3,4 V;0,9737663;140;0,000187384;0,206121929;0,001472299;0,537389314;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;LFP
APR18650M-A1;1100;;3,5 V;0,99112859;30;0,000295714;0,325285033;0,010842834;3,957634572;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;LFP
APR18650M-A1;1100;;3,5 V;0,98328229;65;0,000257196;0,282915092;0,00435254;1,588677057;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;LFP
APR18650M-A1;1100;;3,5 V;0,97662149;105;0,000222652;0,244917724;0,00233255;0,851380659;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;LFP
APR18650M-A1;1100;;3,5 V;0,97032198;140;0,000211986;0,233184443;0,001665603;0,607945155;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;LFP
APR18650M-A1;1100;;3,6 V;0,98795638;30;0,000401454;0,4415994;0,01471998;5,3727927;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;LFP
APR18650M-A1;1100;;3,6 V;0,97911331;65;0,000321334;0,353467062;0,005437955;1,984853499;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;LFP
APR18650M-A1;1100;;3,6 V;0,97036792;105;0,00028221;0,310431314;0,002956489;1,079118378;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;LFP
APR18650M-A1;1100;;3,6 V;0,96261764;140;0,000267017;0,293718543;0,00209799;0,765766201;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;LFP
NCR18650B;3200;;3,586 V;1,00029806;0;0;0;0;0;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;NCA
NCR18650B;3200;;3,586 V;1,03588151;35;-0,001025186;-3,2805952;-0,093731291;-34,21192137;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;NCA
NCR18650B;3200;;3,586 V;1,0265131;65;-0,000407894;-1,305260308;-0,020080928;-7,329538651;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;NCA
NCR18650B;3200;;3,586 V;1,01870534;105;-0,000178146;-0,570067505;-0,005429214;-1,981663231;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;NCA
NCR18650B;3200;;3,586 V;1,01137206;140;-8,1229E-05;-0,2599328;-0,001856663;-0,677681943;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;NCA
NCR18650B;3200;;3,7 V;1,01465919;30;-0,00048864;-1,563646933;-0,052121564;-19,02437102;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;NCA
NCR18650B;3200;;3,7 V;1,00552976;65;-8,50732E-05;-0,272234338;-0,004188221;-1,528700516;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;NCA
NCR18650B;3200;;3,7 V;0,99855631;105;1,37494E-05;0,043998171;0,00041903;0,152946024;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;NCA
NCR18650B;3200;;3,7 V;0,99372702;140;4,4807E-05;0,1433824;0,00102416;0,3738184;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;NCA
NCR18650B;3200;;3,8 V;0,99105236;30;0,000298255;0,954414933;0,031813831;11,61204836;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;NCA
NCR18650B;3200;;3,8 V;0,98442693;65;0,000239586;0,766674215;0,011794988;4,305170594;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;NCA
NCR18650B;3200;;3,8 V;0,97888417;105;0,000201103;0,643530057;0,006128858;2,237033056;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;NCA
