Zelle;Kapazität in mAh;Temperatur in ;Volt/SOC;Relative Kapazität in %;Dauer d. Alterung in Tagen;(rel. Kal. Alterung %)/Tag;Verlust an abs. Kapa in mAh für entsprechende Tage;mAh/Tag;mAh/Jahr;Paper;Chemie
NCR18650PD;2800;55;3,85;0,899;258;0,00039;1,092303313;0,004233734;1,545312827;Calendar Aging of NCA Lithium-I;NCA
NCR18650PD;2800;25;3,97;0,956;267;0,000167;0,466587392;0,001747518;0,637844188;Calendar Aging of NCA Lithium-I;NCA
NCR18650PD;2800;55;3,97;0,884;258;0,000449;1,25638321;0,004869702;1,777441363;Calendar Aging of NCA Lithium-I;NCA
NCR18650PD;2800;25;4,1;0,958;267;0,000159;0,443937519;0,001662687;0,606880878;Calendar Aging of NCA Lithium-I;NCA
NCR18650PD;2800;55;4,1;0,889;258;0,000429;1,200127246;0,004651656;1,697854437;Calendar Aging of NCA Lithium-I;NCA
NCR18650PD;2800;25;4,2;0,965;267;0,000131;0,366927949;0,001374262;0,501605623;Calendar Aging of NCA Lithium-I;NCA
NCR18650PD;2800;55;4,2;0,895;258;0,000407;1,139183284;0,004415439;1,611635266;Calendar Aging of NCA Lithium-I;NCA
NCR18650PD;2800;25;5;0,979;288;0,000072;0,201583873;0,000699944;0,255479562;Calendar Aging of NCA Lithium-I;NCA
NCR18650PD;2800;50;5;0,954;285;0,000161;0,449850328;0,001578422;0,576124104;Calendar Aging of NCA Lithium-I;NCA
NCR18650PD;2800;50;5;0,954;300;0,000152;0,426721637;0,001422405;0,519177992;Calendar Aging of Lithium-Ion Batteries;NCA
NCR18650PD;2800;40;5;0,967;300;0,00011;0,308077569;0,001026925;0,374827709;Calendar Aging of Lithium-Ion Batteries;NCA
NCR18650PD;2800;25;5;0,98;300;0,000068;0,189433501;0,000631445;0,230477427;Calendar Aging of Lithium-Ion Batteries;NCA
UR18650E;2050;50;5;0,953;300;0,000158;0,323198198;0,001077327;0,393224474;Calendar Aging of Lithium-Ion Batteries;NMC
UR18650E;2050;40;5;0,971;300;0,000096;0,196227477;0,000654092;0,238743431;Calendar Aging of Lithium-Ion Batteries;NMC
UR18650E;2050;25;5;0,986;300;0,000048;0,098113739;0,000327046;0,119371715;Calendar Aging of Lithium-Ion Batteries;NMC
APR18650M1A;1100;50;5;0,926;270;0,000273;0,300203685;0,001111865;0,405830907;Calendar Aging of Lithium-Ion Batteries;LFP
APR18650M1A;1100;40;5;0,964;270;0,000135;0,148289058;0,000549219;0,200464838;Calendar Aging of Lithium-Ion Batteries;LFP
APR18650M1A;1100;25;5;0,993;270;0,000025;0,027447878;0,000101659;0,037105465;Calendar Aging of Lithium-Ion Batteries;LFP
NCR18650PD;2800;25;10;0,978;288;0,000076;0,214182865;0,000743691;0,271447034;Calendar Aging of NCA Lithium-I;NCA
NCR18650PD;2800;50;10;0,951;285;0,000171;0,479557425;0,001682658;0,614170035;Calendar Aging of NCA Lithium-I;NCA
NCR18650PD;2800;50;10;0,951;300;0,000164;0,457978317;0,001526594;0,557206953;Calendar Aging of Lithium-Ion Batteries;NCA
NCR18650PD;2800;40;10;0,965;300;0,000116;0,32353031;0,001078434;0,393628544;Calendar Aging of Lithium-Ion Batteries;NCA
NCR18650PD;2800;25;10;0,976;300;0,000079;0,220690182;0,000735634;0,268506388;Calendar Aging of Lithium-Ion Batteries;NCA
UR18650E;2050;50;10;0,938;300;0,000206;0,421311937;0,001404373;0,51259619;Calendar Aging of Lithium-Ion Batteries;NMC
UR18650E;2050;40;10;0,965;300;0,000115;0,236627252;0,000788758;0,28789649;Calendar Aging of Lithium-Ion Batteries;NMC
UR18650E;2050;25;10;0,981;300;0,000062;0,126970721;0,000423236;0,154481044;Calendar Aging of Lithium-Ion Batteries;NMC
APR18650M1A;1100;50;10;0,92;270;0,000298;0,327671521;0,001213598;0,442963352;Calendar Aging of Lithium-Ion Batteries;LFP
APR18650M1A;1100;40;10;0,953;270;0,000175;0,193013267;0,000714864;0,260925343;Calendar Aging of Lithium-Ion Batteries;LFP
APR18650M1A;1100;25;10;0,984;270;0,000059;0,065273529;0,000241754;0,088240141;Calendar Aging of Lithium-Ion Batteries;LFP
UR18650E;2050;50;10;0,906;513,55;0,000184;0,376662296;0,00073345;0,267709214;A holistic aging model for Li(NiMnCo)O2 based 18650 lithium-ion batteries;NMC
NCR18650PD;2800;25;20;0,973;288;0,000093;0,26037917;0,000904094;0,329994434;Calendar Aging of NCA Lithium-I;NCA
NCR18650PD;2800;50;20;0,94;285;0,000211;0,589898071;0,002069818;0,755483495;Calendar Aging of NCA Lithium-I;NCA
NCR18650BD;3200;10;20;0,886;3,04;0,037369;119,5794773;39,31380076;14349,53728;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA
NCR18650BD;3200;10;20;0,859;73;0,001926;6,163983589;0,084438131;30,81991794;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA
NCR18650BD;3200;10;20;0,857;139;0,001031;3,299812784;0,02373966;8,664976016;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA
NCR18650BD;3200;10;20;0,847;202;0,000758;2,424126886;0,012000628;4,380229274;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA
NCR18650BD;3200;10;20;0,83;297;0,000572;1,830314711;0,006162676;2,249376665;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA
NCR18650BD;3200;10;20;0,832;385;0,000438;1,400275043;0,003637078;1,327533482;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA
NCR18650BD;3200;10;20;0,83;435;0,000391;1,251900544;0,002877932;1,050445284;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA
NCR18650BD;3200;25;20;0,836;297;0,000554;1,772281091;0,005967276;2,178055886;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA
NCR18650BD;3200;25;20;0,835;385;0,000428;1,370147944;0,003558826;1,298971427;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA
NCR18650BD;3200;25;20;0,83;435;0,00039;1,247294806;0,002867344;1,046580699;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA
NCR18650BD;3200;25;20;0,879;3,04;0,039723;127,113147;41,79062367;15253,57764;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA
NCR18650BD;3200;25;20;0,863;73;0,001877;6,0069501;0,082286988;30,0347505;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA
NCR18650BD;3200;25;20;0,859;139;0,001011;3,236313202;0,023282829;8,49823251;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA
